Telepules,Jogallas,Megye,Kisterseg,Lako_nepesseg,roma_onkormanyzat
Tiszafüred,város,Jász-Nagykun-Szolnok,Tiszafüredi,"11,091",1
Tiszagyenda,község,Jász-Nagykun-Szolnok,Kunhegyesi,953,
Tiszagyulaháza,község,Hajdú-Bihar,Hajdúnánási,683,
Tiszaigar,község,Jász-Nagykun-Szolnok,Tiszafüredi,825,1
Tiszainoka,község,Jász-Nagykun-Szolnok,Kunszentmártoni,390,1
Tiszajenő,község,Jász-Nagykun-Szolnok,Szolnoki,"1,577",
Tiszakanyár,község,Szabolcs-Szatmár-Bereg,Kisvárdai,"1,589",1
Tiszakarád,község,Borsod-Abaúj-Zemplén,Cigándi,"2,411",1
Tiszakécske,város,Bács-Kiskun,Tiszakécskei,"11,743",
Tiszakerecseny,község,Szabolcs-Szatmár-Bereg,Vásárosnaményi,990,
Tiszakeszi,község,Borsod-Abaúj-Zemplén,Mezőcsáti,"2,614",1
Tiszakóród,község,Szabolcs-Szatmár-Bereg,Fehérgyarmati,788,1
Tiszakürt,község,Jász-Nagykun-Szolnok,Kunszentmártoni,"1,414",
Tiszaladány,község,Borsod-Abaúj-Zemplén,Tokaji,630,
Tiszalök,város,Szabolcs-Szatmár-Bereg,Tiszavasvári,"5,305",1
Tiszalúc,nagyközség,Borsod-Abaúj-Zemplén,Szerencsi,"4,933",1
Tiszamogyorós,község,Szabolcs-Szatmár-Bereg,Záhonyi,736,1
Tiszanagyfalu,község,Szabolcs-Szatmár-Bereg,Nyíregyházi,"1,822",
Tiszanána,község,Heves,Hevesi,"2,480",1
Tiszaörs,község,Jász-Nagykun-Szolnok,Tiszafüredi,"1,349",1
Tiszapalkonya,község,Borsod-Abaúj-Zemplén,Tiszaújvárosi,"1,417",
Tiszapüspöki,község,Jász-Nagykun-Szolnok,Törökszentmiklósi,"2,039",1
Tiszarád,község,Szabolcs-Szatmár-Bereg,Kemecsei,551,1
Tiszaroff,község,Jász-Nagykun-Szolnok,Kunhegyesi,"1,522",1
Tiszasas,község,Jász-Nagykun-Szolnok,Kunszentmártoni,"1,017",
Tiszasüly,község,Jász-Nagykun-Szolnok,Szolnoki,"1,466",1
Tiszaszalka,község,Szabolcs-Szatmár-Bereg,Vásárosnaményi,874,
Tiszaszentimre,község,Jász-Nagykun-Szolnok,Tiszafüredi,"2,050",1
Tiszaszentmárton,község,Szabolcs-Szatmár-Bereg,Záhonyi,"1,121",1
Tiszasziget,község,Csongrád,Szegedi,"1,676",1
Tiszaszőlős,község,Jász-Nagykun-Szolnok,Tiszafüredi,"1,629",1
Tiszatardos,község,Borsod-Abaúj-Zemplén,Tokaji,214,
Tiszatarján,község,Borsod-Abaúj-Zemplén,Mezőcsáti,"1,424",
Tiszatelek,község,Szabolcs-Szatmár-Bereg,Ibrányi,"1,399",
Tiszatenyő,község,Jász-Nagykun-Szolnok,Törökszentmiklósi,"1,596",
Tiszaug,község,Bács-Kiskun,Tiszakécskei,913,
Tiszaújváros,város,Borsod-Abaúj-Zemplén,Tiszaújvárosi,"15,954",1
Tiszavalk,község,Borsod-Abaúj-Zemplén,Mezőkövesdi,300,
Tiszavárkony,község,Jász-Nagykun-Szolnok,Szolnoki,"1,528",
Tiszavasvári,város,Szabolcs-Szatmár-Bereg,Tiszavasvári,"12,818",1
Tiszavid,község,Szabolcs-Szatmár-Bereg,Vásárosnaményi,562,1
Tisztaberek,község,Szabolcs-Szatmár-Bereg,Fehérgyarmati,696,1
Tivadar,község,Szabolcs-Szatmár-Bereg,Fehérgyarmati,192,
Tóalmás,község,Pest,Nagykátai,"3,216",1
Tófalu,község,Heves,Füzesabonyi,569,1
Tófej,község,Zala,Zalaegerszegi,715,
Tófű,község,Baranya,Komlói,110,
Tokaj,város,Borsod-Abaúj-Zemplén,Tokaji,"4,282",1
Tokod,nagyközség,Komárom-Esztergom,Esztergomi,"3,981",1
Tokodaltáró,község,Komárom-Esztergom,Esztergomi,"2,836",1
Tokorcs,község,Vas,Celldömölki,359,
Tolcsva,község,Borsod-Abaúj-Zemplén,Sárospataki,"1,810",1
Told,község,Hajdú-Bihar,Berettyóújfalui,303,1
Tolmács,község,Nógrád,Rétsági,752,
Tolna,város,Tolna,Tolnai,"11,080",1
Tolnanémedi,község,Tolna,Tamási,"1,048",1
Tomajmonostora,község,Jász-Nagykun-Szolnok,Kunhegyesi,756,
Tomor,község,Borsod-Abaúj-Zemplén,Edelényi,244,
Tompa,város,Bács-Kiskun,Kiskunhalasi,"4,413",1
Tompaládony,község,Vas,Sárvári,289,
Tordas,község,Fejér,Martonvásári,"2,083",
Tormafölde,község,Zala,Lenti,334,
Tormás,község,Baranya,Hegyháti,267,1
Tormásliget,község,Vas,Kőszegi,292,
Tornabarakony,község,Borsod-Abaúj-Zemplén,Edelényi,12,
Tornakápolna,község,Borsod-Abaúj-Zemplén,Edelényi,12,
Tornanádaska,község,Borsod-Abaúj-Zemplén,Edelényi,755,1
Tornaszentandrás,község,Borsod-Abaúj-Zemplén,Edelényi,168,
Tornaszentjakab,község,Borsod-Abaúj-Zemplén,Edelényi,217,
Tornyiszentmiklós,község,Zala,Lenti,546,
Tornyosnémeti,község,Borsod-Abaúj-Zemplén,Gönci,399,1
Tornyospálca,község,Szabolcs-Szatmár-Bereg,Kisvárdai,"2,855",
Torony,község,Vas,Szombathelyi,"1,966",1
Torvaj,község,Somogy,Tabi,244,
Tószeg,község,Jász-Nagykun-Szolnok,Szolnoki,"4,275",
Tótkomlós,város,Békés,Orosházi,"5,902",1
Tótszentgyörgy,község,Baranya,Szigetvári,146,
Tótszentmárton,község,Zala,Letenyei,819,
Tótszerdahely,község,Zala,Letenyei,"1,045",
Tótújfalu,község,Somogy,Barcsi,192,
Tótvázsony,község,Veszprém,Veszprémi,"1,322",
Tök,község,Pest,Budakeszi,"1,312",1
Tököl,város,Pest,Szigetszentmiklósi,"10,168",
Töltéstava,község,Győr-Moson-Sopron,Győri,"2,334",
Tömörd,község,Vas,Kőszegi,285,
Tömörkény,község,Csongrád,Csongrádi,"1,701",
Törökbálint,város,Pest,Érdi,"13,385",1
Törökkoppány,község,Somogy,Tabi,425,
Törökszentmiklós,város,Jász-Nagykun-Szolnok,Törökszentmiklósi,"20,323",1
Törtel,község,Pest,Ceglédi,"4,340",1
Töttös,község,Baranya,Bólyi,564,
Trizs,község,Borsod-Abaúj-Zemplén,Putnoki,214,
Tunyogmatolcs,község,Szabolcs-Szatmár-Bereg,Fehérgyarmati,"2,392",1
Tura,város,Pest,Aszódi,"7,689",1
Túristvándi,község,Szabolcs-Szatmár-Bereg,Fehérgyarmati,805,1
Túrkeve,város,Jász-Nagykun-Szolnok,Mezőtúri,"8,563",1
Túrony,község,Baranya,Siklósi,255,
Túrricse,község,Szabolcs-Szatmár-Bereg,Fehérgyarmati,681,1
Tuzsér,nagyközség,Szabolcs-Szatmár-Bereg,Záhonyi,"3,441",1
Türje,község,Zala,Zalaszentgróti,"1,582",1
Tüskevár,község,Veszprém,Devecseri,560,
Tyukod,nagyközség,Szabolcs-Szatmár-Bereg,Csengeri,"1,985",1
Udvar,község,Baranya,Mohácsi,106,
Udvari,község,Tolna,Tamási,327,
Ugod,község,Veszprém,Pápai,"1,341",
Újbarok,község,Fejér,Bicskei,405,
Újcsanálos,község,Borsod-Abaúj-Zemplén,Miskolci,874,1
Újdombrád,község,Szabolcs-Szatmár-Bereg,Kisvárdai,777,
Újfehértó,város,Szabolcs-Szatmár-Bereg,Nyíregyházi,"12,607",1
Újhartyán,város,Pest,Dabasi,"2,702",
Újiráz,község,Hajdú-Bihar,Berettyóújfalui,530,
Újireg,község,Tolna,Tamási,282,
Újkenéz,község,Szabolcs-Szatmár-Bereg,Kisvárdai,"1,005",1
Újkér,község,Győr-Moson-Sopron,Soproni,980,
Újkígyós,város,Békés,Békéscsabai,"5,009",1
Újlengyel,község,Pest,Dabasi,"1,695",
Újléta,község,Hajdú-Bihar,Nyíradonyi,"1,134",1
Újlőrincfalva,község,Heves,Füzesabonyi,203,
Újpetre,község,Baranya,Siklósi,957,1
Újrónafő,község,Győr-Moson-Sopron,Mosonmagyaróvári,830,
Újsolt,község,Bács-Kiskun,Kalocsai,200,
Újszalonta,község,Békés,Sarkadi,122,
Újszász,város,Jász-Nagykun-Szolnok,Szolnoki,"6,054",1
Újszentiván,község,Csongrád,Szegedi,"1,911",1
Újszentmargita,község,Hajdú-Bihar,Balmazújvárosi,"1,484",1
Újszilvás,község,Pest,Ceglédi,"2,581",
Újtelek,község,Bács-Kiskun,Kalocsai,349,
Újtikos,község,Hajdú-Bihar,Hajdúnánási,851,
Újudvar,község,Zala,Nagykanizsai,950,
Újvárfalva,község,Somogy,Kaposvári,300,1
Ukk,község,Veszprém,Sümegi,333,
Und,község,Győr-Moson-Sopron,Soproni,322,
Úny,község,Komárom-Esztergom,Esztergomi,678,
Uppony,község,Borsod-Abaúj-Zemplén,Ózdi,258,
Ura,község,Szabolcs-Szatmár-Bereg,Csengeri,628,
Uraiújfalu,község,Vas,Sárvári,843,
Úrhida,község,Fejér,Székesfehérvári,"2,456",
Úri,község,Pest,Nagykátai,"2,511",
Úrkút,község,Veszprém,Ajkai,"1,983",
Uszka,község,Szabolcs-Szatmár-Bereg,Fehérgyarmati,486,1
Uszód,község,Bács-Kiskun,Kalocsai,958,1
Uzsa,község,Veszprém,Tapolcai,301,
Üllés,nagyközség,Csongrád,Mórahalmi,"2,960",
Üllő,város,Pest,Vecsési,"11,774",1
Üröm,község,Pest,Pilisvörösvári,"7,220",
Vác,város,Pest,Váci,"32,981",1
Vácduka,község,Pest,Váci,"1,471",
Vácegres,község,Pest,Aszódi,851,1
Váchartyán,község,Pest,Váci,"1,740",
Váckisújfalu,község,Pest,Váci,439,
Vácrátót,község,Pest,Váci,"1,886",
Vácszentlászló,község,Pest,Gödöllői,"2,020",
Vadna,község,Borsod-Abaúj-Zemplén,Kazincbarcikai,621,
Vadosfa,község,Győr-Moson-Sopron,Kapuvári,83,
Vág,község,Győr-Moson-Sopron,Csornai,460,
Vágáshuta,község,Borsod-Abaúj-Zemplén,Sátoraljaújhelyi,73,
Vaja,város,Szabolcs-Szatmár-Bereg,Mátészalkai,"3,534",1
Vajdácska,község,Borsod-Abaúj-Zemplén,Sárospataki,"1,303",1
Vajszló,nagyközség,Baranya,Sellyei,"1,759",1
Vajta,község,Fejér,Sárbogárdi,912,1
Vál,község,Fejér,Martonvásári,"2,398",
Valkó,nagyközség,Pest,Gödöllői,"2,418",1
Valkonya,község,Zala,Letenyei,50,
Vállaj,község,Szabolcs-Szatmár-Bereg,Mátészalkai,"1,146",
Vállus,község,Zala,Keszthelyi,127,
Vámosatya,község,Szabolcs-Szatmár-Bereg,Vásárosnaményi,591,
Vámoscsalád,község,Vas,Sárvári,280,
Vámosgyörk,község,Heves,Gyöngyösi,"1,882",
Vámosmikola,község,Pest,Szobi,"1,635",1
Vámosoroszi,község,Szabolcs-Szatmár-Bereg,Fehérgyarmati,517,1
Vámospércs,város,Hajdú-Bihar,Nyíradonyi,"5,322",1
Vámosújfalu,község,Borsod-Abaúj-Zemplén,Sárospataki,716,
Vámosszabadi,község,Győr-Moson-Sopron,Győri,"1,746",
Váncsod,község,Hajdú-Bihar,Berettyóújfalui,"1,206",
Vanyarc,község,Nógrád,Pásztói,"1,198",1
Vanyola,község,Veszprém,Pápai,510,1
Várad,község,Baranya,Szigetvári,115,
Váralja,község,Tolna,Bonyhádi,846,1
Varászló,község,Somogy,Marcali,151,
Váraszó,község,Heves,Pétervásárai,470,1
Várbalog,község,Győr-Moson-Sopron,Mosonmagyaróvári,363,
Varbó,község,Borsod-Abaúj-Zemplén,Miskolci,"1,052",
Varbóc,község,Borsod-Abaúj-Zemplén,Edelényi,54,
Várda,község,Somogy,Kaposvári,450,
Várdomb,község,Tolna,Szekszárdi,"1,084",
Várfölde,község,Zala,Letenyei,187,
Varga,község,Baranya,Hegyháti,82,
Várgesztes,község,Komárom-Esztergom,Tatabányai,544,
Várkesző,község,Veszprém,Pápai,148,
Várong,község,Tolna,Dombóvári,156,
Városföld,község,Bács-Kiskun,Kecskeméti,"2,130",
Városlőd,község,Veszprém,Ajkai,"1,302",1
Várpalota,város,Veszprém,Várpalotai,"19,640",1
Varsád,község,Tolna,Tamási,344,
Varsány,község,Nógrád,Szécsényi,"1,581",1
Várvölgy,község,Zala,Keszthelyi,"1,052",
Vasad,község,Pest,Monori,"1,916",
Vasalja,község,Vas,Körmendi,331,
Vásárosbéc,község,Baranya,Szigetvári,176,
Vásárosdombó,község,Baranya,Hegyháti,"1,079",
Vásárosfalu,község,Győr-Moson-Sopron,Kapuvári,148,
Vásárosmiske,község,Vas,Sárvári,350,
Vásárosnamény,város,Szabolcs-Szatmár-Bereg,Vásárosnaményi,"8,766",1
Vasasszonyfa,község,Vas,Szombathelyi,391,
Vasboldogasszony,község,Zala,Zalaegerszegi,589,
Vasegerszeg,község,Vas,Sárvári,381,
Vashosszúfalu,község,Vas,Sárvári,339,
Vaskeresztes,község,Vas,Szombathelyi,358,
Vaskút,nagyközség,Bács-Kiskun,Bajai,"3,347",
Vasmegyer,község,Szabolcs-Szatmár-Bereg,Kemecsei,"1,684",1
Vaspör,község,Zala,Zalaegerszegi,354,
Vassurány,község,Vas,Szombathelyi,808,
Vasvár,város,Vas,Vasvári,"4,229",1
Vaszar,község,Veszprém,Pápai,"1,444",
Vászoly,község,Veszprém,Balatonfüredi,243,
Vasszécseny,község,Vas,Szombathelyi,"1,337",
Vasszentmihály,község,Vas,Szentgotthárdi,341,
Vasszilvágy,község,Vas,Szombathelyi,366,
Vát,község,Vas,Szombathelyi,672,
Vatta,község,Borsod-Abaúj-Zemplén,Mezőkövesdi,916,
Vázsnok,község,Baranya,Hegyháti,139,
Vécs,község,Heves,Gyöngyösi,612,1
Vecsés,város,Pest,Vecsési,"20,673",1
Végegyháza,község,Békés,Mezőkovácsházai,"1,394",1
Vejti,község,Baranya,Sellyei,169,
Vékény,község,Baranya,Komlói,141,
Vekerd,község,Hajdú-Bihar,Berettyóújfalui,120,
Velem,község,Vas,Kőszegi,340,
Velemér,község,Vas,Körmendi,74,
Velence,város,Fejér,Gárdonyi,"5,619",
Velény,község,Baranya,Szentlőrinci,109,
Véménd,község,Baranya,Mohácsi,"1,332",1
Vének,község,Győr-Moson-Sopron,Győri,168,
Vép,város,Vas,Szombathelyi,"3,266",1
Vereb,község,Fejér,Gárdonyi,762,
Veresegyház,város,Pest,Gödöllői,"17,532",1
Verőce,község,Pest,Szobi,"3,758",1
Verpelét,város,Heves,Egri,"3,800",1
Verseg,község,Pest,Aszódi,"1,309",1
Versend,község,Baranya,Bólyi,932,1
Vértesacsa,község,Fejér,Bicskei,"1,760",
Vértesboglár,község,Fejér,Bicskei,867,
Vérteskethely,község,Komárom-Esztergom,Kisbéri,544,
Vértessomló,község,Komárom-Esztergom,Tatabányai,"1,301",
Vértestolna,község,Komárom-Esztergom,Tatai,478,
Vértesszőlős,község,Komárom-Esztergom,Tatabányai,"2,998",
Vése,község,Somogy,Marcali,743,
Veszkény,község,Győr-Moson-Sopron,Kapuvári,941,
Veszprém,"megyeszékhely, megyei jogú város",Veszprém,Veszprémi,"60,392",1
Veszprémfajsz,község,Veszprém,Veszprémi,259,
Veszprémgalsa,község,Veszprém,Sümegi,265,
Veszprémvarsány,község,Győr-Moson-Sopron,Pannonhalmi,"1,062",
Vésztő,város,Békés,Szeghalmi,"6,784",1
Vezseny,község,Jász-Nagykun-Szolnok,Szolnoki,609,1
Vid,község,Veszprém,Devecseri,124,
Vigántpetend,község,Veszprém,Tapolcai,174,
Villány,város,Baranya,Siklósi,"2,406",1
Villánykövesd,község,Baranya,Siklósi,265,
Vilmány,község,Borsod-Abaúj-Zemplén,Gönci,"1,467",1
Vilonya,község,Veszprém,Várpalotai,597,
Vilyvitány,község,Borsod-Abaúj-Zemplén,Sátoraljaújhelyi,218,
Vinár,község,Veszprém,Pápai,236,
Vindornyafok,község,Zala,Keszthelyi,121,
Vindornyalak,község,Zala,Keszthelyi,78,
Vindornyaszőlős,község,Zala,Keszthelyi,315,
Visegrád,város,Pest,Szentendrei,"1,842",
Visnye,község,Somogy,Kaposvári,231,
Visonta,község,Heves,Gyöngyösi,"1,125",
Viss,község,Borsod-Abaúj-Zemplén,Sárospataki,690,1
Visz,község,Somogy,Fonyódi,213,
Viszák,község,Vas,Körmendi,229,
Viszló,község,Borsod-Abaúj-Zemplén,Edelényi,67,
Visznek,község,Heves,Gyöngyösi,"1,117",
Vitnyéd,község,Győr-Moson-Sopron,Kapuvári,"1,312",
Vízvár,község,Somogy,Barcsi,528,1
Vizslás,község,Nógrád,Salgótarjáni,"1,317",1
Vizsoly,község,Borsod-Abaúj-Zemplén,Gönci,848,1
Vokány,község,Baranya,Siklósi,839,1
Vonyarcvashegy,nagyközség,Zala,Keszthelyi,"2,209",
Vöckönd,község,Zala,Zalaegerszegi,106,
Völcsej,község,Győr-Moson-Sopron,Soproni,395,
Vönöck,község,Vas,Celldömölki,711,
Vöröstó,község,Veszprém,Veszprémi,85,
Vörs,község,Somogy,Marcali,489,
Zabar,község,Nógrád,Salgótarjáni,421,1
Zádor,község,Baranya,Szigetvári,311,1
Zádorfalva,község,Borsod-Abaúj-Zemplén,Putnoki,460,1
Zagyvarékas,község,Jász-Nagykun-Szolnok,Szolnoki,"3,422",
Zagyvaszántó,község,Heves,Hatvani,"1,962",
Záhony,város,Szabolcs-Szatmár-Bereg,Záhonyi,"4,237",1
Zajk,község,Zala,Letenyei,235,1
Zajta,község,Szabolcs-Szatmár-Bereg,Fehérgyarmati,434,1
Zákány,község,Somogy,Csurgói,"1,050",1
Zákányfalu,község,Somogy,Csurgói,518,
Zákányszék,község,Csongrád,Mórahalmi,"2,730",
Zala,község,Somogy,Tabi,237,
Zalaapáti,község,Zala,Keszthelyi,"1,682",1
Zalabaksa,község,Zala,Lenti,683,
Zalabér,község,Zala,Zalaszentgróti,707,1
Zalaboldogfa,község,Zala,Zalaegerszegi,325,
Zalacsány,község,Zala,Keszthelyi,914,1
Zalacséb,község,Zala,Zalaegerszegi,495,
Zalaegerszeg,"megyeszékhely, megyei jogú város",Zala,Zalaegerszegi,"58,829",1
Zalaerdőd,község,Veszprém,Sümegi,230,
Zalagyömörő,község,Veszprém,Sümegi,454,
Zalahaláp,község,Veszprém,Tapolcai,"1,213",
Zalaháshágy,község,Zala,Zalaegerszegi,364,
Zalaigrice,község,Zala,Zalaegerszegi,103,
Zalaistvánd,község,Zala,Zalaegerszegi,342,
Zalakaros,város,Zala,Nagykanizsai,"1,939",
Zalakomár,nagyközség,Zala,Nagykanizsai,"2,912",1
Zalaköveskút,község,Zala,Keszthelyi,26,
Zalalövő,város,Zala,Zalaegerszegi,"2,945",
Zalameggyes,község,Veszprém,Sümegi,41,
Zalamerenye,község,Zala,Nagykanizsai,181,
Zalasárszeg,község,Zala,Nagykanizsai,115,
Zalaszabar,község,Zala,Nagykanizsai,521,
Zalaszántó,község,Zala,Keszthelyi,923,1
Zalaszegvár,község,Veszprém,Sümegi,126,
Zalaszentbalázs,község,Zala,Nagykanizsai,798,
Zalaszentgrót,város,Zala,Zalaszentgróti,"6,448",1
Zalaszentgyörgy,község,Zala,Zalaegerszegi,365,
Zalaszentiván,község,Zala,Zalaegerszegi,985,
Zalaszentjakab,község,Zala,Nagykanizsai,279,1
Zalaszentlászló,község,Zala,Zalaszentgróti,824,
Zalaszentlőrinc,község,Zala,Zalaegerszegi,268,
Zalaszentmárton,község,Zala,Keszthelyi,52,
Zalaszentmihály,község,Zala,Zalaegerszegi,933,
Zalaszombatfa,község,Zala,Lenti,46,
Zaláta,község,Baranya,Sellyei,207,
Zalatárnok,község,Zala,Zalaegerszegi,629,
Zalaújlak,község,Zala,Nagykanizsai,105,
Zalavár,község,Zala,Keszthelyi,835,1
Zalavég,község,Zala,Zalaszentgróti,359,1
Zalkod,község,Borsod-Abaúj-Zemplén,Sárospataki,193,
Zamárdi,város,Somogy,Siófoki,"2,422",
Zámoly,község,Fejér,Székesfehérvári,"2,172",
Zánka,község,Veszprém,Balatonfüredi,797,
Zaránk,község,Heves,Hevesi,414,
Závod,község,Tolna,Bonyhádi,285,
Zebecke,község,Zala,Lenti,60,
Zebegény,község,Pest,Szobi,"1,214",
Zemplénagárd,község,Borsod-Abaúj-Zemplén,Cigándi,766,1
Zengővárkony,község,Baranya,Pécsváradi,401,
Zichyújfalu,község,Fejér,Gárdonyi,924,
Zics,község,Somogy,Tabi,326,
Ziliz,község,Borsod-Abaúj-Zemplén,Edelényi,360,
Zimány,község,Somogy,Kaposvári,561,1
Zirc,város,Veszprém,Zirci,"6,899",
Zók,község,Baranya,Szentlőrinci,314,
Zomba,község,Tolna,Bonyhádi,"2,027",1
Zubogy,község,Borsod-Abaúj-Zemplén,Putnoki,534,
Zsadány,község,Békés,Sarkadi,"1,720",1
Zsáka,nagyközség,Hajdú-Bihar,Berettyóújfalui,"1,560",
Zsámbék,város,Pest,Budakeszi,"5,368",
Zsámbok,község,Pest,Gödöllői,"2,289",1
Zsana,község,Bács-Kiskun,Kiskunhalasi,742,
Zsarolyán,község,Szabolcs-Szatmár-Bereg,Fehérgyarmati,384,
Zsebeháza,község,Győr-Moson-Sopron,Csornai,141,
Zsédeny,község,Vas,Sárvári,223,
Zselickisfalud,község,Somogy,Kaposvári,225,
Zselickislak,község,Somogy,Kaposvári,304,
Zselicszentpál,község,Somogy,Kaposvári,397,
Zsennye,község,Vas,Szombathelyi,92,
Zsira,község,Győr-Moson-Sopron,Soproni,844,
Zsombó,nagyközség,Csongrád,Mórahalmi,"3,301",
Zsujta,község,Borsod-Abaúj-Zemplén,Gönci,151,
Zsurk,község,Szabolcs-Szatmár-Bereg,Záhonyi,754,
,,,,"9,830,485","1,148"
