Telepules,Jogallas,Megye,Kisterseg,Lako_nepesseg,roma_onkormanyzat
Sonkád,község,Szabolcs-Szatmár-Bereg,Fehérgyarmati,802,1
Soponya,nagyközség,Fejér,Székesfehérvári,"1,814",
Sopron,megyei jogú város,Győr-Moson-Sopron,Soproni,"61,887",1
Sopronhorpács,község,Győr-Moson-Sopron,Soproni,847,
Sopronkövesd,község,Győr-Moson-Sopron,Soproni,"1,275",
Sopronnémeti,község,Győr-Moson-Sopron,Csornai,279,
Sorkifalud,község,Vas,Szombathelyi,665,
Sorkikápolna,község,Vas,Szombathelyi,233,
Sormás,község,Zala,Nagykanizsai,832,1
Sorokpolány,község,Vas,Szombathelyi,800,
Sóshartyán,község,Nógrád,Salgótarjáni,999,1
Sóskút,község,Pest,Érdi,"3,178",
Sóstófalva,község,Borsod-Abaúj-Zemplén,Miskolci,231,
Sósvertike,község,Baranya,Sellyei,155,1
Sótony,község,Vas,Sárvári,620,
Söjtör,község,Zala,Zalaegerszegi,"1,436",1
Söpte,község,Vas,Szombathelyi,723,
Söréd,község,Fejér,Móri,517,
Sukoró,község,Fejér,Gárdonyi,"1,458",
Sumony,község,Baranya,Szentlőrinci,425,1
Súr,község,Komárom-Esztergom,Kisbéri,"1,186",
Surd,község,Zala,Nagykanizsai,583,
Sükösd,nagyközség,Bács-Kiskun,Bajai,"3,550",1
Sülysáp,város,Pest,Nagykátai,"8,280",1
Sümeg,város,Veszprém,Sümegi,"6,133",1
Sümegcsehi,község,Zala,Zalaszentgróti,619,
Sümegprága,község,Veszprém,Sümegi,599,
Süttő,község,Komárom-Esztergom,Esztergomi,"2,055",
Szabadbattyán,nagyközség,Fejér,Székesfehérvári,"4,503",1
Szabadegyháza,község,Fejér,Gárdonyi,"2,074",
Szabadhídvég,község,Fejér,Enyingi,822,
Szabadi,község,Somogy,Kaposvári,266,
Szabadkígyós,község,Békés,Békéscsabai,"2,410",
Szabadszállás,város,Bács-Kiskun,Kunszentmiklósi,"6,116",1
Szabadszentkirály,község,Baranya,Szentlőrinci,726,1
Szabás,község,Somogy,Nagyatádi,601,1
Szabolcs,község,Szabolcs-Szatmár-Bereg,Nyíregyházi,429,
Szabolcsbáka,község,Szabolcs-Szatmár-Bereg,Kisvárdai,"1,159",1
Szabolcsveresmart,község,Szabolcs-Szatmár-Bereg,Kisvárdai,"1,667",1
Szada,nagyközség,Pest,Gödöllői,"5,097",
Szágy,község,Baranya,Hegyháti,134,1
Szajk,község,Baranya,Bólyi,812,
Szajla,község,Heves,Pétervásárai,525,1
Szajol,község,Jász-Nagykun-Szolnok,Szolnoki,"3,718",
Szakácsi,község,Borsod-Abaúj-Zemplén,Edelényi,163,1
Szakadát,község,Tolna,Tamási,192,
Szakáld,község,Borsod-Abaúj-Zemplén,Tiszaújvárosi,458,
Szakály,község,Tolna,Tamási,"1,333",1
Szakcs,község,Tolna,Dombóvári,811,1
Szakmár,község,Bács-Kiskun,Kalocsai,"1,202",1
Szaknyér,község,Vas,Körmendi,51,
Szakoly,község,Szabolcs-Szatmár-Bereg,Nagykállói,"2,724",1
Szakony,község,Győr-Moson-Sopron,Soproni,412,
Szakonyfalu,község,Vas,Szentgotthárdi,357,
Szákszend,község,Komárom-Esztergom,Oroszlányi,"1,455",
Szalafő,község,Vas,Körmendi,202,
Szalánta,község,Baranya,Pécsi,"1,126",1
Szalapa,község,Zala,Zalaszentgróti,189,
Szalaszend,község,Borsod-Abaúj-Zemplén,Encsi,"1,058",1
Szalatnak,község,Baranya,Komlói,283,
Szálka,község,Tolna,Szekszárdi,571,
Szalkszentmárton,község,Bács-Kiskun,Kunszentmiklósi,"2,791",
Szalmatercs,község,Nógrád,Szécsényi,398,1
Szalonna,község,Borsod-Abaúj-Zemplén,Edelényi,"1,157",1
Szamosangyalos,község,Szabolcs-Szatmár-Bereg,Csengeri,540,1
Szamosbecs,község,Szabolcs-Szatmár-Bereg,Csengeri,371,
Szamoskér,község,Szabolcs-Szatmár-Bereg,Mátészalkai,407,
Szamossályi,község,Szabolcs-Szatmár-Bereg,Fehérgyarmati,732,
Szamostatárfalva,község,Szabolcs-Szatmár-Bereg,Csengeri,322,1
Szamosújlak,község,Szabolcs-Szatmár-Bereg,Fehérgyarmati,354,
Szamosszeg,község,Szabolcs-Szatmár-Bereg,Mátészalkai,"1,935",1
Szanda,község,Nógrád,Balassagyarmati,639,1
Szank,község,Bács-Kiskun,Kiskunmajsai,"2,364",1
Szántód,község,Somogy,Siófoki,579,
Szany,nagyközség,Győr-Moson-Sopron,Csornai,"2,026",1
Szápár,község,Veszprém,Zirci,463,
Szaporca,község,Baranya,Siklósi,230,
Szár,község,Fejér,Bicskei,"1,658",
Szárász,község,Baranya,Komlói,35,
Szárazd,község,Tolna,Tamási,246,
Szárföld,község,Győr-Moson-Sopron,Kapuvári,916,
Szárliget,község,Komárom-Esztergom,Tatabányai,"2,374",
Szarvas,város,Békés,Szarvasi,"16,044",1
Szarvasgede,község,Nógrád,Pásztói,386,
Szarvaskend,község,Vas,Körmendi,192,
Szarvaskő,község,Heves,Egri,344,
Szászberek,község,Jász-Nagykun-Szolnok,Szolnoki,"1,015",
Szászfa,község,Borsod-Abaúj-Zemplén,Szikszói,105,
Szászvár,nagyközség,Baranya,Komlói,"2,297",1
Szatmárcseke,község,Szabolcs-Szatmár-Bereg,Fehérgyarmati,"1,590",1
Szátok,község,Nógrád,Rétsági,611,1
Szatta,község,Vas,Körmendi,72,
Szatymaz,község,Csongrád,Szegedi,"4,683",
Szava,község,Baranya,Siklósi,316,1
Százhalombatta,város,Pest,Érdi,"18,599",
Szebény,község,Baranya,Mohácsi,306,
Szécsénke,község,Nógrád,Balassagyarmati,198,
Szécsény,város,Nógrád,Szécsényi,"5,883",1
Szécsényfelfalu,község,Nógrád,Szécsényi,377,1
Szécsisziget,község,Zala,Lenti,192,
Szederkény,község,Baranya,Bólyi,"1,739",
Szedres,község,Tolna,Szekszárdi,"2,191",1
Szeged,"megyeszékhely, megyei jogú város",Csongrád,Szegedi,"162,621",1
Szegerdő,község,Somogy,Marcali,212,
Szeghalom,város,Békés,Szeghalmi,"9,005",
Szegi,község,Borsod-Abaúj-Zemplén,Tokaji,267,
Szegilong,község,Borsod-Abaúj-Zemplén,Tokaji,210,
Szegvár,nagyközség,Csongrád,Szentesi,"4,283",1
Székely,község,Szabolcs-Szatmár-Bereg,Kemecsei,"1,033",1
Székelyszabar,község,Baranya,Mohácsi,541,
Székesfehérvár,"megyeszékhely, megyei jogú város",Fejér,Székesfehérvári,"98,207",1
Székkutas,község,Csongrád,Hódmezővásárhelyi,"2,021",
Szekszárd,"megyeszékhely, megyei jogú város",Tolna,Szekszárdi,"32,844",1
Szeleste,község,Vas,Sárvári,650,
Szelevény,község,Jász-Nagykun-Szolnok,Kunszentmártoni,"1,063",
Szellő,község,Baranya,Pécsváradi,136,
Szemely,község,Baranya,Pécsi,410,
Szemenye,község,Vas,Vasvári,334,
Szemere,község,Borsod-Abaúj-Zemplén,Encsi,397,1
Szendehely,község,Nógrád,Rétsági,"1,560",1
Szendrő,város,Borsod-Abaúj-Zemplén,Edelényi,"4,249",1
Szendrőlád,község,Borsod-Abaúj-Zemplén,Edelényi,"2,097",1
Szenna,község,Somogy,Kaposvári,760,1
Szenta,község,Somogy,Csurgói,383,1
Szentantalfa,község,Veszprém,Balatonfüredi,443,
Szentbalázs,község,Somogy,Kaposvári,302,
Szentbékkálla,község,Veszprém,Tapolcai,182,
Szentborbás,község,Somogy,Barcsi,106,1
Szentdénes,község,Baranya,Szentlőrinci,285,
Szentdomonkos,község,Heves,Pétervásárai,427,1
Szente,község,Nógrád,Rétsági,314,
Szentegát,község,Baranya,Szigetvári,348,
Szentendre,város,Pest,Szentendrei,"25,802",1
Szentes,város,Csongrád,Szentesi,"27,695",1
Szentgál,község,Veszprém,Veszprémi,"2,736",1
Szentgáloskér,község,Somogy,Kaposvári,513,
Szentgotthárd,város,Vas,Szentgotthárdi,"8,872",1
Szentgyörgyvár,község,Zala,Keszthelyi,312,
Szentgyörgyvölgy,község,Zala,Lenti,395,
Szentimrefalva,község,Veszprém,Sümegi,198,
Szentistván,nagyközség,Borsod-Abaúj-Zemplén,Mezőkövesdi,"2,387",1
Szentistvánbaksa,község,Borsod-Abaúj-Zemplén,Szikszói,277,
Szentjakabfa,község,Veszprém,Balatonfüredi,110,
Szentkatalin,község,Baranya,Szentlőrinci,85,
Szentkirály,község,Bács-Kiskun,Tiszakécskei,"1,876",
Szentkirályszabadja,község,Veszprém,Veszprémi,"1,892",
Szentkozmadombja,község,Zala,Zalaegerszegi,69,
Szentlászló,község,Baranya,Szigetvári,771,
Szentliszló,község,Zala,Letenyei,258,
Szentlőrinc,város,Baranya,Szentlőrinci,"6,401",1
Szentlőrinckáta,község,Pest,Nagykátai,"1,887",1
Szentmargitfalva,község,Zala,Letenyei,73,
Szentmártonkáta,nagyközség,Pest,Nagykátai,"4,842",1
Szentpéterfa,község,Vas,Szombathelyi,993,
Szentpéterfölde,község,Zala,Zalaegerszegi,105,
Szentpéterszeg,község,Hajdú-Bihar,Berettyóújfalui,"1,090",
Szentpéterúr,község,Zala,Zalaegerszegi,992,1
Szenyér,község,Somogy,Marcali,318,1
Szepetnek,község,Zala,Nagykanizsai,"1,557",1
Szerecseny,község,Győr-Moson-Sopron,Téti,770,
Szeremle,község,Bács-Kiskun,Bajai,"1,409",1
Szerencs,város,Borsod-Abaúj-Zemplén,Szerencsi,"8,942",1
Szerep,község,Hajdú-Bihar,Püspökladányi,"1,568",1
Szergény,község,Vas,Celldömölki,298,
Szigetbecse,község,Pest,Ráckevei,"1,266",
Szigetcsép,község,Pest,Ráckevei,"2,293",
Szigethalom,város,Pest,Szigetszentmiklósi,"17,156",
Szigetmonostor,község,Pest,Szentendrei,"2,345",
Szigetszentmárton,község,Pest,Ráckevei,"2,135",
Szigetszentmiklós,város,Pest,Szigetszentmiklósi,"36,330",1
Szigetújfalu,község,Pest,Ráckevei,"1,924",
Szigetvár,város,Baranya,Szigetvári,"10,585",1
Szigliget,község,Veszprém,Tapolcai,804,
Szihalom,község,Heves,Füzesabonyi,"1,899",
